Customer ID,Total_Orders,Total_Revenue,Total_Profit,Total_Quantity,Avg_Order_Value,Avg_Discount,First_Order,Last_Order,Unique_Products,Unique_Categories,Avg_Profit_Margin,Recency (Days),Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer Segment,Customer Name,Segment
AA-10315,5,5563.56,-362.88,30,505.78,0.09,2014-03-31,2017-06-29,11,3,26.5,184,5,5563.56,2,2,5,9,Cant Lose Them,Alex Avila,Consumer
AA-10375,9,1056.39,277.38,41,70.43,0.08,2014-04-21,2017-12-11,15,3,31.9,19,9,1056.39,5,5,2,12,Loyal Customers,Allen Armold,Consumer
AA-10480,4,1790.51,435.83,36,149.21,0.02,2014-05-04,2017-04-15,12,3,33.08,259,4,1790.51,1,1,3,5,Cant Lose Them,Andrew Allen,Consumer
AA-10645,6,5086.93,857.8,64,282.61,0.06,2014-06-22,2017-11-05,18,3,24.41,55,6,5086.93,3,3,5,11,Loyal Customers,Anna Andreadi,Consumer
AB-10015,3,886.16,129.35,13,147.69,0.07,2014-02-18,2016-11-10,6,3,10.54,415,3,886.16,1,1,1,3,Lost/Hibernating,Aaron Bergman,Consumer
AB-10060,8,7755.62,2054.59,56,430.87,0.04,2015-09-18,2017-11-06,17,3,34.46,54,8,7755.62,3,4,5,12,Loyal Customers,Adam Bellavance,Home Office
AB-10105,10,14473.57,5444.81,73,723.68,0.24,2014-12-20,2017-11-19,20,3,-8.31,41,10,14473.57,4,5,5,14,Champions,Adrian Barton,Consumer
AB-10150,5,966.71,313.66,37,80.56,0.13,2014-03-05,2017-11-19,12,3,21.48,41,5,966.71,4,2,2,8,New Customers,Aimee Bixby,Consumer
AB-10165,8,1113.84,220.81,48,79.56,0.14,2014-11-16,2017-12-05,14,3,24.21,25,8,1113.84,5,4,2,11,Loyal Customers,Alan Barnes,Consumer
AB-10255,9,914.53,264.57,39,65.32,0.1,2014-07-22,2017-07-17,14,3,30.68,166,9,914.53,2,5,1,8,At Risk,Alejandro Ballentine,Home Office
AB-10600,4,1515.86,-274.96,38,189.48,0.38,2014-11-18,2017-11-10,8,3,-33.48,50,4,1515.86,4,1,2,7,New Customers,Ann Blume,Corporate
AC-10420,3,925.8,-62.13,17,185.16,0.32,2014-07-12,2017-05-12,5,2,-19.25,232,3,925.8,1,1,1,3,Lost/Hibernating,Alyssa Crouse,Corporate
AC-10450,7,5527.85,1366.01,43,614.21,0.19,2014-10-31,2017-12-19,9,2,13.22,11,7,5527.85,5,3,5,13,Champions,Amy Cox,Consumer
AC-10615,5,2537.69,298.83,59,140.98,0.11,2015-09-15,2017-12-24,18,3,15.12,6,5,2537.69,5,2,3,10,Loyal Customers,Ann Chong,Corporate
AC-10660,5,657.32,-28.7,16,109.55,0.18,2014-10-15,2017-03-23,6,3,6.16,282,5,657.32,1,2,1,4,Lost/Hibernating,Anna Chung,Consumer
AD-10180,8,6106.88,1869.93,40,508.91,0.06,2014-11-19,2017-12-01,12,3,30.19,29,8,6106.88,4,4,5,13,Champions,Alan Dominguez,Home Office
AF-10870,7,2052.91,317.97,51,128.31,0.2,2015-12-06,2017-11-19,16,3,-7.94,41,7,2052.91,4,3,3,10,Loyal Customers,Art Ferguson,Consumer
AF-10885,4,861.56,-163.12,37,123.08,0.26,2014-05-10,2016-11-10,7,3,-12.19,415,4,861.56,1,1,1,3,Lost/Hibernating,Art Foster,Consumer
AG-10270,5,2582.9,732.74,58,184.49,0.01,2014-05-13,2017-03-27,14,3,27.07,278,5,2582.9,1,2,3,6,Cant Lose Them,Alejandro Grove,Consumer
AG-10300,4,367.55,59.29,16,73.51,0.08,2014-04-26,2017-09-03,5,2,24.25,118,4,367.55,2,1,1,4,Lost/Hibernating,Aleksandra Gannaway,Corporate
AG-10330,5,660.97,-5.14,47,73.44,0.23,2016-08-03,2017-12-22,9,3,-0.28,8,5,660.97,5,2,1,8,New Customers,Alex Grayson,Consumer
AG-10390,5,200.94,69.28,33,25.12,0.22,2014-04-19,2017-09-07,8,2,9.95,114,5,200.94,2,2,1,5,Lost/Hibernating,Allen Goldenen,Consumer
AG-10495,8,2356.86,295.67,93,112.23,0.2,2015-01-04,2017-10-13,21,3,17.66,78,8,2356.86,3,4,3,10,Loyal Customers,Andrew Gjertsen,Corporate
AG-10525,4,1455.04,-152.76,33,161.67,0.16,2014-08-09,2015-09-07,9,3,17.62,845,4,1455.04,1,1,2,4,Lost/Hibernating,Andy Gerbode,Corporate
AG-10675,7,3489.04,-246.43,54,232.6,0.16,2015-05-07,2017-09-24,15,3,13.73,97,7,3489.04,3,3,4,10,Loyal Customers,Anna Gayman,Consumer
AG-10765,4,170.58,-8.43,20,34.12,0.46,2014-09-17,2017-10-14,5,1,-60.4,77,4,170.58,3,1,1,5,Need Attention,Anthony Garverick,Home Office
AG-10900,10,4510.8,343.68,92,214.8,0.17,2014-07-23,2017-09-25,21,3,9.4,96,10,4510.8,3,5,5,13,Champions,Arthur Gainer,Consumer
AH-10030,7,1744.7,365.22,54,158.61,0.09,2014-04-22,2017-12-18,11,3,31.05,12,7,1744.7,5,3,3,11,Loyal Customers,Aaron Hawkins,Corporate
AH-10075,10,3250.34,281.19,75,162.52,0.14,2014-11-16,2017-11-26,20,3,16.85,34,10,3250.34,4,5,4,13,Champions,Adam Hart,Corporate
AH-10120,7,1735.51,-2.31,65,108.47,0.24,2014-07-18,2017-10-31,16,3,-3.53,60,7,1735.51,3,3,2,8,Potential Loyalists,Adrian Hane,Home Office
AH-10195,4,1587.45,-378.55,28,198.43,0.35,2015-03-05,2017-11-05,8,2,-24.07,55,4,1587.45,3,1,2,6,Need Attention,Alan Haines,Corporate
AH-10210,9,4805.34,1308.55,53,369.64,0.09,2014-11-29,2017-12-24,13,2,29.96,6,9,4805.34,5,5,5,15,Champions,Alan Hwang,Consumer
AH-10465,5,2495.39,-196.12,35,311.92,0.14,2015-01-03,2017-05-14,8,3,13.24,230,5,2495.39,1,2,3,6,Cant Lose Them,Amy Hunt,Consumer
AH-10585,4,738.5,83.96,17,147.7,0.12,2014-10-26,2017-12-09,5,3,18.85,21,4,738.5,5,1,1,7,New Customers,Angele Hood,Consumer
AH-10690,12,7888.29,1298.02,102,342.97,0.22,2014-04-02,2016-11-15,23,3,-1.4,410,12,7888.29,1,5,5,11,Loyal Customers,Anna Häberlin,Corporate
AI-10855,10,4375.79,867.73,72,243.1,0.07,2014-04-28,2017-12-17,18,3,31.22,13,10,4375.79,5,5,5,15,Champions,Arianne Irving,Consumer
AJ-10780,7,4867.34,150.71,62,324.49,0.09,2014-01-10,2017-10-16,15,3,20.79,75,7,4867.34,3,3,5,11,Loyal Customers,Anthony Jacobs,Corporate
AJ-10795,7,4501.39,1158.71,88,214.35,0.08,2014-05-14,2017-07-17,21,3,26.39,166,7,4501.39,2,3,5,10,Loyal Customers,Anthony Johnson,Corporate
AJ-10945,7,1839.24,521.14,40,183.92,0.04,2014-03-03,2017-10-06,10,3,27.65,85,7,1839.24,3,3,3,9,Potential Loyalists,Ashley Jarboe,Consumer
AJ-10960,3,629.25,60.43,22,125.85,0.04,2014-09-14,2017-10-17,5,1,27.05,74,3,629.25,3,1,1,5,Need Attention,Astrea Jones,Consumer
AM-10360,5,814.01,194.99,48,67.83,0.12,2014-10-06,2017-12-02,12,3,29.17,28,5,814.01,4,2,1,7,New Customers,Alice McCarthy,Corporate
AM-10705,8,5664.02,1085.73,81,257.46,0.06,2014-10-31,2017-07-21,22,3,24.56,162,8,5664.02,2,4,5,11,Loyal Customers,Anne McFarland,Consumer
AO-10810,1,161.28,12.1,2,161.28,0.2,2016-08-16,2016-08-16,1,1,7.5,501,1,161.28,1,1,1,3,Lost/Hibernating,Anthony O'Donnell,Corporate
AP-10720,8,1638.55,285.79,85,86.24,0.16,2014-03-03,2017-11-19,19,3,17.88,41,8,1638.55,4,4,2,10,Loyal Customers,Anne Pryor,Home Office
AP-10915,10,3323.56,579.31,102,107.21,0.09,2014-08-23,2017-09-23,30,3,23.92,98,10,3323.56,3,5,4,12,Loyal Customers,Arthur Prichep,Consumer
AR-10345,4,1055.69,-221.05,18,211.14,0.26,2014-12-30,2017-09-10,5,3,-1.87,111,4,1055.69,2,1,2,5,Lost/Hibernating,Alex Russell,Corporate
AR-10405,5,2236.13,-98.76,29,319.45,0.1,2014-10-03,2017-08-27,7,3,20.39,125,5,2236.13,2,2,3,7,Cant Lose Them,Allen Rosenblatt,Corporate
AR-10510,5,264.86,43.67,33,37.84,0.21,2014-05-02,2017-12-16,7,2,5.35,14,5,264.86,5,2,1,8,New Customers,Andrew Roberts,Consumer
AR-10540,6,6608.45,2884.62,33,734.27,0.07,2014-11-25,2017-12-24,9,3,38.44,6,6,6608.45,5,3,5,13,Champions,Andy Reiter,Consumer
AR-10570,1,88.15,32.63,6,44.08,0.0,2016-07-14,2016-07-14,2,2,38.5,534,1,88.15,1,1,1,3,Lost/Hibernating,Anemone Ratner,Consumer
AR-10825,8,4523.34,494.84,54,347.95,0.08,2014-06-30,2017-11-02,13,3,21.24,58,8,4523.34,3,4,5,12,Loyal Customers,Anthony Rawles,Corporate
AS-10045,7,3050.69,-253.57,48,305.07,0.36,2014-07-27,2017-10-03,10,3,-11.94,88,7,3050.69,3,3,4,10,Loyal Customers,Aaron Smayling,Corporate
AS-10090,9,3255.31,64.54,81,130.21,0.18,2014-09-22,2017-12-02,24,3,9.65,28,9,3255.31,4,5,4,13,Champions,Adam Shillingsburg,Consumer
AS-10135,2,58.82,21.85,9,19.61,0.07,2016-11-13,2017-11-19,3,2,39.25,41,2,58.82,4,1,1,6,New Customers,Adrian Shami,Home Office
AS-10225,5,4260.78,719.78,41,327.75,0.06,2014-10-18,2017-12-08,13,3,26.92,22,5,4260.78,5,2,4,11,Loyal Customers,Alan Schoenberger,Corporate
AS-10240,7,584.61,33.72,39,44.97,0.27,2014-03-15,2017-06-21,13,2,-0.31,192,7,584.61,2,3,1,6,At Risk,Alan Shonely,Consumer
